linear_estimate,date
12.579203,05aug2011
12.50895,06aug2011
12.438509,07aug2011
12.367892,08aug2011
12.297109,09aug2011
12.226169,10aug2011
12.155091,11aug2011
12.083879,12aug2011
12.012549,13aug2011
11.941111,14aug2011
11.869576,15aug2011
11.797956,16aug2011
11.726258,17aug2011
11.654496,18aug2011
11.582682,19aug2011
11.510824,20aug2011
11.438932,21aug2011
11.367019,22aug2011
11.295093,23aug2011
11.223166,24aug2011
11.151243,25aug2011
11.079341,26aug2011
11.007462,27aug2011
10.935621,28aug2011
10.863825,29aug2011
10.792083,30aug2011
10.720401,31aug2011
10.648796,01sep2011
10.577271,02sep2011
10.505833,03sep2011
10.434494,04sep2011
10.363262,05sep2011
10.292144,06sep2011
10.221148,07sep2011
10.150283,08sep2011
10.079554,09sep2011
10.008971,10sep2011
9.9385395,11sep2011
9.8682718,12sep2011
9.7981691,13sep2011
9.72824,14sep2011
9.6584921,15sep2011
9.588933,16sep2011
9.5195684,17sep2011
9.4504042,18sep2011
9.3814468,19sep2011
9.3127041,20sep2011
9.2441788,21sep2011
9.1758795,22sep2011
9.107811,23sep2011
9.039979,24sep2011
8.9723883,25sep2011
8.9050465,26sep2011
8.8379564,27sep2011
8.7711239,28sep2011
8.7045536,29sep2011
8.6382494,30sep2011
8.5722189,01oct2011
8.506465,02oct2011
8.4409914,03oct2011
8.375803,04oct2011
8.3109045,05oct2011
8.2462997,06oct2011
8.1819897,07oct2011
8.1179838,08oct2011
8.0542812,09oct2011
7.9908881,10oct2011
7.9278064,11oct2011
7.8650413,12oct2011
7.8025923,13oct2011
7.7404656,14oct2011
7.6786633,15oct2011
7.6171894,16oct2011
7.5560431,17oct2011
7.4952312,18oct2011
7.4347539,19oct2011
7.3746138,20oct2011
7.3148146,21oct2011
7.2553563,22oct2011
7.1962433,23oct2011
7.137476,24oct2011
7.0790567,25oct2011
7.0209885,26oct2011
6.9632707,27oct2011
6.9059076,28oct2011
6.8488979,29oct2011
6.7922449,30oct2011
6.7359495,31oct2011
6.6800132,01nov2011
6.6244359,02nov2011
6.5692201,03nov2011
6.5143666,04nov2011
6.4598761,05nov2011
6.4057488,06nov2011
6.3519859,07nov2011
6.2985888,08nov2011
6.2455578,09nov2011
6.1928926,10nov2011
6.140594,11nov2011
6.0886626,12nov2011
6.0370979,13nov2011
5.9859004,14nov2011
5.935071,15nov2011
5.8846097,16nov2011
5.8345156,17nov2011
5.7847886,18nov2011
5.7354293,19nov2011
5.6864367,20nov2011
5.6378112,21nov2011
5.5895534,22nov2011
5.5416608,23nov2011
5.4941339,24nov2011
5.4469728,25nov2011
5.4001765,26nov2011
5.353744,27nov2011
5.3076754,28nov2011
5.2619696,29nov2011
5.2166262,30nov2011
5.1716433,01dec2011
5.1270213,02dec2011
5.0827584,03dec2011
5.0388546,04dec2011
4.9953079,05dec2011
4.9521179,06dec2011
4.9092836,07dec2011
4.8668036,08dec2011
4.8246765,09dec2011
4.7829018,10dec2011
4.741477,11dec2011
4.7004027,12dec2011
4.6596761,13dec2011
4.6192961,14dec2011
4.5792618,15dec2011
4.5395708,16dec2011
4.5002236,17dec2011
4.4612174,18dec2011
4.4225502,19dec2011
4.3842216,20dec2011
4.3462291,21dec2011
4.3085728,22dec2011
4.2712493,23dec2011
4.2342577,24dec2011
4.1975956,25dec2011
4.161262,26dec2011
4.1252561,27dec2011
4.0895743,28dec2011
4.0542169,29dec2011
4.0191803,30dec2011
3.9844639,31dec2011
3.9500656,01jan2012
3.9159832,02jan2012
3.8822155,03jan2012
3.8487604,04jan2012
3.8156161,05jan2012
3.7827806,06jan2012
3.7502522,07jan2012
3.718029,08jan2012
3.6861088,09jan2012
3.6544902,10jan2012
3.6231709,11jan2012
3.5921495,12jan2012
3.5614231,13jan2012
3.5309911,14jan2012
3.5008497,15jan2012
3.470999,16jan2012
3.4414356,17jan2012
3.4121578,18jan2012
3.3831644,19jan2012
3.3544528,20jan2012
3.3260207,21jan2012
3.2978671,22jan2012
3.2699893,23jan2012
3.2423851,24jan2012
3.2150533,25jan2012
3.1879916,26jan2012
3.1611979,27jan2012
3.1346703,28jan2012
3.1084065,29jan2012
3.0824051,30jan2012
3.0566633,31jan2012
3.0311799,01feb2012
3.0059526,02feb2012
2.980979,03feb2012
2.9562581,04feb2012
2.9317868,05feb2012
2.9075642,06feb2012
2.8835878,07feb2012
2.8598552,08feb2012
2.8363652,09feb2012
2.8131158,10feb2012
2.7901049,11feb2012
2.7673297,12feb2012
2.7447898,13feb2012
2.7224824,14feb2012
2.7004056,15feb2012
2.6785576,16feb2012
2.6569364,17feb2012
2.6355405,18feb2012
2.6143675,19feb2012
2.5934157,20feb2012
2.5726833,21feb2012
2.5521681,22feb2012
2.5318685,23feb2012
2.5117826,24feb2012
2.4919088,25feb2012
2.4722452,26feb2012
2.4527895,27feb2012
2.4335406,28feb2012
2.4144959,29feb2012
2.395654,01mar2012
2.3770132,02mar2012
2.3585715,03mar2012
2.3403277,04mar2012
2.3222792,05mar2012
2.304425,06mar2012
2.286763,07mar2012
2.2692914,08mar2012
2.2520084,09mar2012
2.2349129,10mar2012
2.2180026,11mar2012
2.2012761,12mar2012
2.1847315,13mar2012
2.1683671,14mar2012
2.1521819,15mar2012
2.1361735,16mar2012
2.1203403,17mar2012
2.1046817,18mar2012
2.089195,19mar2012
2.073879,20mar2012
2.0587323,21mar2012
2.0437529,22mar2012
2.0289395,23mar2012
2.0142903,24mar2012
1.9998045,25mar2012
1.9854798,26mar2012
1.9713149,27mar2012
1.9573087,28mar2012
1.9434594,29mar2012
